Species,LifeSpan,Size,Weight,ClutchSize,HatchTime
Nymphicus hollandicus,15,32,90,5,20
Calyptorhynchus banksii,45,60,742,2,30
Calyptorhynchus lathami,40,50,435,1,29
Zanda funerea,40,60,825,2,29
Zanda latirostris,25,55,655,2,29
Zanda baudinii,45,56,725,1,29
Probosciger aterrimus,50,60,1000,1,30
Callocephalon fimbriatum,20,34,250,2,29
Eolophus roseicapilla,20,35,300,4,25
Lophochroa leadbeateri,60,37,420,3,24
Cacatua sulphurea,35,34,350,2,28
Cacatua galerita,35,49,850,2,26
Cacatua ophthalmica,50,50,490,2,28
Cacatua alba,40,46,600,2,28
Cacatua moluccensis,60,49,850,2,29
Cacatua tenuirostris,25,39,567,3,24
Cacatua pastinator,25,45,685,2,23
Cacatua sanguinea,30,38,500,3,26
Cacatua goffiniana,40,31,275,3,30
Cacatua ducorpsii,31,30,360,3,27
Cacatua haematuropygia,40,30,300,2,27